AMAZON,MICROSOFT,FDX,Netflix
19.0625,31.404953,121.8533325,53.33285522
19.21199989,30.95775032,123.2476273,52.70999908
19.44849968,31.12651062,124.9904327,52.33000183
19.38249969,30.81432533,124.3111801,53.55285645
19.79800034,30.86494827,124.8742676,53.74856949
19.7595005,30.58650398,124.8474197,53.81999969
20.11000061,31.05056572,127.5465393,53.66714478
20.14599991,30.8986969,127.08181,54.36857224
19.95999908,31.28682899,126.9119415,54.05571365
20.21949959,31.59058952,128.0738068,53.84714127
19.90399933,31.46402931,128.1900177,52.5
19.6685009,31.46402931,127.8504181,52.4271431
19.93950081,31.56527328,128.4938965,52.59571457
19.89850044,31.35432434,124.9189606,51.83142853
19.8220005,31.14339447,125.1691132,51.87142944
19.68149948,30.48525238,123.9805069,51.36714172
19.9015007,30.72151184,125.6964722,48.5
20.09600067,30.17305756,125.4551468,48.71285629
20.05050087,29.97899055,126.4740524,48.15000153
19.88299942,30.40930367,127.4750366,47.44857025
19.54899979,29.51491356,125.562439,48.11571503
19.87700081,30.18992615,127.5376129,48.27999878
19.7935009,31.01683235,127.4035568,47.19714355
19.79000092,31.12651062,126.7421722,47.38285828
19.98049927,30.6961937,125.580307,47.14857101
20.35250092,30.51900673,127.0460434,46.95857239
20.22699928,30.31650352,127.1800766,47.67571259
19.99349976,30.42617798,125.3390198,55.53142929
19.37999916,31.05900574,120.2803955,55.15428543
19.31399918,30.40087509,117.9298553,54.4614296
19.7215004,30.60337448,120.0658798,58.11000061
19.20999908,30.93244362,117.8404617,57.20285797
20.15049934,31.1011982,119.5564423,57.81000137
17.93449974,31.92809677,119.1542358,58.47571564
17.30750084,30.78056908,115.6865311,57.76856995
17.39749908,30.67087936,116.5623703,57.98714447
17.32250023,30.22367668,116.1602173,57.77428436
17.72949982,30.52744293,116.9377899,58.27285767
18.05400085,30.84806633,117.7600174,61.42571259
18.0435009,31.05056572,116.0797653,61.49142838
18.08950043,31.36277008,119.0023117,61.99856949
17.46249962,31.61590958,118.8682709,61.27571487
17.86000061,31.73401642,118.9308014,62.36428452
17.86750031,31.74245834,119.6905136,62.2157135
17.68250084,31.81045723,118.6805496,62.40714264
17.36899948,31.88698006,117.3936005,61.17571259
17.48999977,32.0909996,118.8593292,62.13571548
17.33799934,32.2865181,120.5663986,61.74714279
17.5890007,32.03998566,120.5395889,63.8571434
17.91600037,31.91248894,118.7252655,64.71857452
17.98999977,31.85298157,118.305191,64.112854
18.00650024,32.18451309,119.3598709,64.60428619
18.10499954,32.56703949,119.1632004,63.66143036
17.98900032,32.11650085,119.2078857,63.65571213
18.19499969,32.65205002,122.5236816,64.99714661
18.61849976,32.39703751,122.3628006,64.7857132
18.6079998,32.4310379,122.7023849,64.35857391
18.60300064,32.2185173,122.9618912,64.05285645
18.5265007,32.1505127,123.3466263,62.84999847
18.44099998,32.32052231,122.836586,62.49714279
18.53199959,32.53305054,123.2839661,62.36857224
18.57550049,32.21000671,122.2908554,61.43714142
18.68700027,32.04848862,122.3624344,60.6414299
18.75200081,32.34601593,123.0961533,60.38857269
18.93849945,33.62117767,123.9818726,60.0357132
18.66150093,33.38313675,123.8118591,60.01285553
18.44849968,34.28424072,122.129837,60.61000061
18.03100014,34.13972092,122.3893127,57.99856949
17.59250069,34.42875671,120.7429962,54.12857056
17.73550034,34.29273605,120.0361481,52.97714233
17.1704998,33.8251915,118.2108917,53.18285751
16.92350006,33.45964813,118.2019882,52.02571487
16.91449928,34.2587204,118.1125031,51.26714325
16.81850052,34.84529877,118.6046143,50.29000092
17.14949989,35.21084213,119.9914474,52.09857178
17.09799957,35.15133667,120.5729904,51.84000015
16.68099976,34.86230469,121.0562134,50.66999817
16.14999962,33.89318848,120.2061539,48.18714142
15.88799953,33.83368301,118.9803543,48.2857132
16.35350037,33.85069275,118.9177551,49.84143066
16.59049988,34.40324783,119.8929977,50.43285751
15.85550022,33.45964813,118.1572266,47.81856918
15.58650017,33.33213806,117.4146271,46.67285538
15.7954998,33.30664444,118.1035461,47.36857224
15.8039999,33.79117584,118.2556229,46.61000061
16.18400002,34.34373856,119.6693268,47.34428787
16.24550056,34.01221085,121.2798309,49.3914299
16.5435009,33.95269394,121.9240417,49.7842865
16.4659996,33.99520874,122.6040192,53.27142715
16.22900009,33.7401886,121.9776993,50.5
16.85750008,33.88468552,121.7540359,49.15285873
15.19149971,33.92719269,120.0808945,46.01142883
14.82900047,34.74327469,120.3672028,44.88714218
15.01900005,34.43725967,121.2082825,45.69571304
15.20650005,34.34373856,121.9061356,46.00571442
15.39449978,34.00370407,121.8971786,48.07428741
15.4005003,33.7401886,122.5324249,48.66428757
15.50249958,33.51914215,121.5482483,49.19714355
14.86900043,33.20462418,121.2261429,46.59857178
14.63549995,33.51065063,123.9550323,45.79142761
14.41600037,33.69766998,122.3087463,45.95142746
14.61200047,33.61266708,123.0424423,46.93571472
15.14299965,33.97821045,125.3955536,49.34999847
15.23200035,34.60315323,125.3865738,49.59143066
14.88099957,34.44906235,124.6618881,50.26856995
14.75949955,33.90116882,124.080307,49.16999817
14.88500023,34.09806442,123.6776962,49.98285675
14.8380003,34.02956772,124.3666382,52.07143021
15.05949974,33.96965408,122.9887924,53.09571457
15.25049973,34.54322433,124.4113312,55.79999924
15.24549961,34.32921219,124.6618881,55.97142792
15.61200047,34.34631348,126.6034622,57.47857285
15.54100037,34.40625381,127.2655869,56.97285843
15.50800037,34.25215149,128.3660278,57.31999969
15.68900013,34.53466034,129.3144379,59.31428528
15.62749958,35.04831314,128.9833679,59.68999863
15.44200039,34.91990662,129.0639343,60.29428482
15.35949993,34.49186707,127.9007339,59.65285873
15.33899975,34.51753616,127.9455109,60.45857239
16.17849922,35.27945709,127.6323471,61.19285583
16.48349953,35.51060486,127.6771164,61.44714355
16.375,35.33083725,128.5270844,60.44142914
16.62050056,35.19385147,128.652359,61.18428421
16.76000023,34.97981262,127.7218323,61.42856979
16.2954998,34.74012756,124.5544968,60.34999847
16.31349945,35.29658127,125.5029221,61.10142899
16.38100052,35.52771759,124.7692413,61.4657135
16.28100014,35.68182755,125.7189941,63.37857056
16.71899986,35.656147,133.4605408,64.09714508
16.35000038,35.5362854,132.2509766,63.05571365
16.20999908,35.68182755,132.7168274,62.88285828
16.36199951,35.94721603,133.3977814,62.7885704
16.20800018,35.74174881,134.114624,62.33714294
16.37199974,35.98146439,135.6737061,63.45857239
16.28450012,35.71606827,135.7453461,62.80142975
16.22850037,36.16979599,135.6647034,63.15428543
16.23900032,35.69894028,135.6378326,62.94285583
16.61949921,35.84447098,136.5338135,67.58571625
16.64249992,35.87016678,136.4353027,66.67713928
16.87450027,35.78455734,137.6359558,67.47856903
16.67749977,35.94721603,135.9066772,65.80285645
16.19050026,35.76743317,135.449707,63.57857132
16.49850082,35.67326355,135.5841675,63.2857132
16.39599991,35.69039154,134.6343384,62.65000153
17.30999947,36.03282166,134.9747772,62.85142899
17.76600075,36.07562637,135.3600922,64.65428925
17.72200012,36.34101486,136.1037903,64.15571594
17.79500008,37.73644638,138.3258362,63.49142838
17.62249947,38.12168121,136.1037903,62.76571274
17.93300056,38.25864792,136.9728546,63.45285797
17.98800087,38.38706589,136.5070038,64.56428528
18.04199982,38.37850952,137.3492126,61.58428574
17.90699959,38.41274261,136.8026428,61.12857056
17.93050003,38.01038742,136.6413574,60.76856995
16.20050049,38.09598923,135.1719055,60.26571274
16.02050018,37.64226151,133.9802551,60.66571426
16,37.57378387,131.8388062,60.61142731
16.12549973,37.30839157,133.8279114,62.05142975
15.64949989,36.94882965,131.6057739,60.38857269
15.35299969,36.69201279,131.4892883,60.77142715
15.68249989,37.12861252,133.3530426,60.38571548
15.61600018,36.88036346,131.569931,60.40714264
15.69449997,36.58927536,130.3424072,61.47142792
15.57250023,37.00875092,130.8352509,64.23857117
15.84000015,36.98308563,132.4749298,63.69285583
15.91650009,36.98308563,132.8602295,64.50571442
15.9659996,37.25701904,132.9946136,63.77285767
16.31399918,37.73644638,133.8189087,64.50428772
16.66049957,37.89910889,134.0787659,64.41000366
16.68149948,38.34426498,133.2544403,65.58428955
16.72649956,38.61820984,134.7776337,66.57142639
16.75650024,39.04892349,134.401413,66.87857056
16.78899956,38.72159576,134.9658813,67.45571136
16.64550018,38.95417404,134.894104,67.43571472
16.5795002,38.89387131,133.9174652,68.45571136
16.70100021,38.91109467,134.2131653,68.70428467
17.09149933,38.77327728,133.7562256,68.48000336
17.1590004,38.65266037,133.5949097,67.81428528
17.00099945,38.66129303,132.4928589,67.887146
16.95199966,39.13507462,132.5017853,68.23428345
17.11899948,38.84218597,134.7597656,68.08571625
16.95000076,38.73019409,135.9335632,68.19857025
17.29750061,38.98863602,136.229187,67.52428436
17.31900024,39.54855347,137.3581696,67.95428467
17.11700058,40.03097534,136.7301636,68.47571564
16.48749924,40.28078079,135.4740906,68.43000031
16.56649971,40.34969711,135.2588043,69.19857025
16.52599907,40.48752594,136.8467865,68.79428864
